Index,acc,name,length,organism,_5,level,_7
523,P46529,Cyclin-dependent kinase inhibitor 1B,178,Neovison vison (American mink) (Mustela vison),0.691,2.0,0.843
524,P49919,Cyclin-dependent kinase inhibitor 1C,348,Mus musculus (Mouse),0.672,2.0,0.908
527,Q15517,Corneodesmosin,529,Homo sapiens (Human),0.607,2.0,0.977
528,Q7YR44,Corneodesmosin,529,Pan troglodytes (Chimpanzee),0.607,2.0,0.991
536,P49716,CCAAT/enhancer-binding protein delta,269,Homo sapiens (Human),0.572,2.0,0.874
543,P49451,Major centromere autoantigen B,239,Ovis aries (Sheep),0.661,2.0,0.753
552,P04289,Cytoplasmic envelopment protein 3,96,Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1),0.552,2.0,
604,Q9V6Q2,Histone H3-like centromeric protein cid,225,Drosophila melanogaster (Fruit fly),0.582,2.0,0.622
615,Q14011,Cold-inducible RNA-binding protein,172,Homo sapiens (Human),0.605,2.0,0.541
617,Q5RF83,Cold-inducible RNA-binding protein,172,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),0.605,2.0,0.535
687,Q28181,Cyclic nucleotide-gated channel beta-1,1394,Bos taurus (Bovine),0.578,2.0,0.679
689,P04972,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Bos taurus (Bovine),0.632,2.0,0.667
690,P54827,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Canis lupus familiaris (Dog) (Canis familiaris),0.632,2.0,0.816
691,P61248,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Felis catus (Cat) (Felis silvestris catus),0.632,2.0,0.667
692,P18545,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Homo sapiens (Human),0.632,2.0,0.839
693,P09174,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Mus musculus (Mouse),0.632,2.0,0.747
702,P08572,Collagen alpha-2(IV) chain,1712,Homo sapiens (Human),0.584,2.0,0.87
703,P08122,Collagen alpha-2(IV) chain,1707,Mus musculus (Mouse),0.623,2.0,0.872
707,Q7LZR2,Collagen alpha-1(VIII) chain,744,Gallus gallus (Chicken),0.613,2.0,0.824
709,Q00780,Collagen alpha-1(VIII) chain,744,Mus musculus (Mouse),0.614,2.0,0.821
711,P14282,Collagen alpha-1(VIII) chain,744,Oryctolagus cuniculus (Rabbit),0.594,2.0,0.821
713,Q02388,Collagen alpha-1(VII) chain,2944,Homo sapiens (Human),0.536,2.0,
714,Q63870,Collagen alpha-1(VII) chain,2944,Mus musculus (Mouse),0.506,2.0,
716,P20849,Collagen alpha-1(IX) chain,921,Homo sapiens (Human),0.683,2.0,0.771
721,Q03692,Collagen alpha-1(X) chain,680,Homo sapiens (Human),0.69,2.0,0.799
730,Q07563,Collagen alpha-1(XVII) chain,1470,Mus musculus (Mouse),0.544,2.0,0.933
732,Q9UMD9,Collagen alpha-1(XVII) chain,1497,Homo sapiens (Human),0.514,2.0,0.927
734,A6QPB3,Collagen alpha-1(XVII) chain,1473,Bos taurus (Bovine),0.539,2.0,0.937
736,P39061,Collagen alpha-1(XVIII) chain,1774,Mus musculus (Mouse),0.506,2.0,0.702
761,Q8NFW1,Collagen alpha-1(XXII) chain,1626,Homo sapiens (Human),0.64,2.0,0.74
787,Q24478,Centrosome-associated zinc finger protein Cp190,1096,Drosophila melanogaster (Fruit fly),0.556,2.0,0.719
798,Q0P5D2,Cleavage and polyadenylation specificity factor subunit 6,551,Bos taurus (Bovine),0.577,2.0,0.684
801,Q5NVH8,Cleavage and polyadenylation specificity factor subunit 6,552,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),0.574,2.0,0.678
802,Q6NVF9,Cleavage and polyadenylation specificity factor subunit 6,551,Mus musculus (Mouse),0.577,2.0,0.679
803,Q16630,Cleavage and polyadenylation specificity factor subunit 6,551,Homo sapiens (Human),0.577,2.0,0.684
846,Q6P9K8,Caskin-1,1431,Mus musculus (Mouse),0.53,2.0,0.673
847,Q8VHK2,Caskin-1,1430,Rattus norvegicus (Rat),0.542,2.0,0.666
849,Q8WXD9,Caskin-1,1431,Homo sapiens (Human),0.545,2.0,0.657
865,Q7K740,Circumsporozoite protein,397,Plasmodium falciparum (isolate 3D7),0.617,2.0,0.821
867,P13814,Circumsporozoite protein,424,Plasmodium falciparum (isolate t4 / Thailand),0.639,2.0,0.835
868,P19597,Circumsporozoite protein,397,Plasmodium falciparum (isolate NF54),0.617,2.0,0.821
904,P78794,Pre-mRNA-splicing factor cwf15,265,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),0.63,2.0,0.947
968,O35613,Death domain-associated protein 6,739,Mus musculus (Mouse),0.501,2.0,0.606
969,O18805,Death domain-associated protein 6,736,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops),0.543,2.0,0.624
970,Q9UER7,Death domain-associated protein 6,740,Homo sapiens (Human),0.588,2.0,0.622
971,Q5TJE1,Death domain-associated protein 6,737,Canis lupus familiaris (Dog) (Canis familiaris),0.571,2.0,0.619
972,Q8VIB2,Death domain-associated protein 6,731,Rattus norvegicus (Rat),0.517,2.0,0.61
974,Q9JII5,DAZ-associated protein 1,406,Mus musculus (Mouse),0.653,2.0,0.589
975,Q96EP5,DAZ-associated protein 1,407,Homo sapiens (Human),0.656,2.0,0.592
978,Q9XB18,DNA-binding protein HupB,214,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),0.537,2.0,0.575
980,P9WMK6,DNA-binding protein HupB,214,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),0.537,2.0,0.575
981,A5U6Z7,DNA-binding protein HupB,214,Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra),0.537,2.0,
982,P9WMK7,DNA-binding protein HupB,216,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),0.532,2.0,0.575
984,Q5M831,Dysbindin domain-containing protein 1,160,Rattus norvegicus (Rat),0.625,2.0,1.0
994,Q0IIB6,DNA damage-inducible transcript 3 protein,168,Bos taurus (Bovine),0.661,2.0,0.839
995,P35638,DNA damage-inducible transcript 3 protein,169,Homo sapiens (Human),0.639,2.0,0.834
996,Q62857,DNA damage-inducible transcript 3 protein,168,Rattus norvegicus (Rat),0.577,2.0,0.845
997,P35639,DNA damage-inducible transcript 3 protein,168,Mus musculus (Mouse),0.631,2.0,0.851
1028,Q03063,Down-regulator of invasive growth 1,452,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.575,2.0,0.925
1034,P97839,Disks large-associated protein 4,992,Rattus norvegicus (Rat),0.53,2.0,0.876
1048,P84798,DNA polymerase delta subunit 3,466,Bos taurus (Bovine),0.614,2.0,0.702
1049,Q15054,DNA polymerase delta subunit 3,466,Homo sapiens (Human),0.504,2.0,0.708
1050,P47110,DNA polymerase delta subunit 3,350,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.629,2.0,0.637
1053,Q9EQ28,DNA polymerase delta subunit 3,462,Mus musculus (Mouse),0.574,2.0,0.706
1061,Q9GRZ3,Lysine-specific demethylase 9,1641,Caenorhabditis elegans,0.548,2.0,0.686
1076,P23023,Protein doublesex,549,Drosophila melanogaster (Fruit fly),0.625,2.0,0.787
1097,A0ZWU1,Ell1-associated factor 1,251,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),0.514,2.0,0.641
1115,P03211,Epstein-Barr nuclear antigen 1,641,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),0.644,2.0,
1117,P12978,Epstein-Barr nuclear antigen 2,487,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),0.616,2.0,
1123,P03204,Epstein-Barr nuclear antigen 6,992,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),0.676,2.0,
1146,Q59X67,Enhanced filamentous growth protein 1,550,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),0.542,2.0,0.767
1147,P43064,Enhanced filamentous growth protein,552,Candida albicans (Yeast),0.52,2.0,0.77
1152,Q9Y6B2,EP300-interacting inhibitor of differentiation 1,187,Homo sapiens (Human),0.631,2.0,0.861
1153,Q5RDL6,EP300-interacting inhibitor of differentiation 1,188,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),0.649,2.0,0.867
1160,Q0VCU8,Eukaryotic translation initiation factor 3 subunit J,256,Bos taurus (Bovine),0.531,2.0,0.695
1162,O75822,Eukaryotic translation initiation factor 3 subunit J,258,Homo sapiens (Human),0.504,2.0,0.694
1166,Q5R8D1,Eukaryotic translation initiation factor 3 subunit J,259,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),0.544,2.0,0.695
1168,A0JPM9,Eukaryotic translation initiation factor 3 subunit J,259,Rattus norvegicus (Rat),0.544,2.0,0.707
1175,Q8CB77,Elongin-A,773,Mus musculus (Mouse),0.613,2.0,0.78
1177,Q63187,Elongin-A,773,Rattus norvegicus (Rat),0.62,2.0,0.784
1178,Q14241,Elongin-A,772,Homo sapiens (Human),0.561,2.0,0.794
1184,Q03173,Protein enabled homolog,802,Mus musculus (Mouse),0.574,2.0,0.812
1196,P47160,Epsin-3,408,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.529,2.0,0.62
1198,Q9Y6I3,Epsin-1,576,Homo sapiens (Human),0.531,2.0,0.698
1199,Q80VP1,Epsin-1,575,Mus musculus (Mouse),0.607,2.0,0.71
1200,O88339,Epsin-1,575,Rattus norvegicus (Rat),0.593,2.0,0.69
1234,Q9UI08,Ena/VASP-like protein,416,Homo sapiens (Human),0.599,2.0,0.683
1235,P70429,Ena/VASP-like protein,414,Mus musculus (Mouse),0.514,2.0,0.681
1236,Q5R896,Ena/VASP-like protein,422,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),0.59,2.0,0.68
1237,O08719,Ena/VASP-like protein,420,Rattus norvegicus (Rat),0.507,2.0,0.674
1239,Q01844,RNA-binding protein EWS,656,Homo sapiens (Human),0.649,2.0,0.825
1299,Q5IS69,Fibroblast growth factor 2,288,Pan troglodytes (Chimpanzee),0.542,2.0,0.538
1301,P71590,FHA domain-containing protein FhaA,527,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),0.584,2.0,0.603
1355,Q9TUB3,Protein FosB,338,Canis lupus familiaris (Dog) (Canis familiaris),0.624,2.0,0.941
1362,P70339,Proto-oncogene FRAT1,274,Mus musculus (Mouse),0.668,2.0,0.869
1363,Q92837,Proto-oncogene FRAT1,279,Homo sapiens (Human),0.581,2.0,0.953
1371,P19970,Frequency clock protein,989,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 FGSC 987),0.527,2.0,0.787
1374,P29131,Cell division protein FtsN,319,Escherichia coli (strain K12),0.567,2.0,0.771
1375,Q99PF5,Far upstream element-binding protein 2,721,Rattus norvegicus (Rat),0.509,2.0,0.574
1376,Q92945,Far upstream element-binding protein 2,711,Homo sapiens (Human),0.544,2.0,0.578
1393,P97855,Ras GTPase-activating protein-binding protein 1,465,Mus musculus (Mouse),0.52,2.0,0.525
1409,P29175,Gag polyprotein,310,FBR murine osteosarcoma virus (FBR-MSV) (Finkel-Biskis-Reilly murinosteosarcoma virus),0.51,2.0,
1422,Q9NY12,H/ACA ribonucleoprotein complex subunit 1,217,Homo sapiens (Human),0.585,2.0,0.567
1441,O75496,Geminin,209,Homo sapiens (Human),0.598,2.0,0.732
1442,Q04839,mRNA transport factor GFD1,188,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.681,2.0,0.963
1451,Q5JRK9,Putative G antigen family E member 3,111,Homo sapiens (Human),0.604,2.0,1.0
1461,P04921,Glycophorin-C,128,Homo sapiens (Human),0.539,2.0,0.938
1492,P46984,EKC/KEOPS complex subunit GON7,123,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.512,2.0,0.179
1513,Q24570,Cell death protein Grim,138,Drosophila melanogaster (Fruit fly),0.514,2.0,0.862
1527,P54366,Homeobox protein goosecoid,415,Drosophila melanogaster (Fruit fly),0.511,2.0,0.802
1547,P43278,Histone H1.0,194,Rattus norvegicus (Rat),0.696,2.0,0.639
1577,P02259,Histone H5,190,Gallus gallus (Chicken),0.7,2.0,0.632
1601,P0C746,HTLV-1 basic zipper factor,209,Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1),0.55,2.0,
1606,P0C745,HTLV-1 basic zipper factor,209,Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A) (HTLV-1),0.598,2.0,
1629,Q0X0C4,Protein HEXIM1,320,Bos taurus (Bovine),0.544,2.0,0.725
1630,O94992,Protein HEXIM1,359,Homo sapiens (Human),0.593,2.0,0.727
1631,Q5M9G1,Protein HEXIM1,356,Rattus norvegicus (Rat),0.649,2.0,0.747
1632,Q8R409,Protein HEXIM1,356,Mus musculus (Mouse),0.596,2.0,0.739
1635,P06180,Histone-binding protein N1/N2,590,Xenopus laevis (African clawed frog),0.603,2.0,0.614
1639,P28503,Hirudin-2A,65,Hirudo medicinalis (Medicinal leech),0.508,2.0,0.385
1640,P28508,Hirudin-3A',65,Hirudo medicinalis (Medicinal leech),0.523,2.0,0.385
1643,Q02308,Protein hairless,1077,Drosophila melanogaster (Fruit fly),0.681,2.0,0.987
1654,Q05917,Homeobox protein engrailed-2,289,Gallus gallus (Chicken),0.671,2.0,0.789
1655,P09066,Homeobox protein engrailed-2,324,Mus musculus (Mouse),0.528,2.0,0.821
1656,P19622,Homeobox protein engrailed-2,333,Homo sapiens (Human),0.568,2.0,0.823
1676,P05205,Heterochromatin protein 1,206,Drosophila melanogaster (Fruit fly),0.597,2.0,0.519
1712,Q99081,Transcription factor 12,682,Homo sapiens (Human),0.6,2.0,0.899
1755,P17483,Homeobox protein Hox-B4,251,Homo sapiens (Human),0.661,2.0,0.793
1769,P09016,Homeobox protein Hox-D4,255,Homo sapiens (Human),0.553,2.0,0.804
1775,O24646,Transcription factor HY5,168,Arabidopsis thaliana (Mouse-ear cress),0.673,2.0,0.78
1776,Q9SM50,Transcription factor HY5,158,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),0.665,2.0,0.772
1777,Q8W191,Transcription factor HY5-like,149,Arabidopsis thaliana (Mouse-ear cress),0.517,2.0,0.745
1778,Q9NX55,Huntingtin-interacting protein K,121,Homo sapiens (Human),0.62,2.0,0.558
1781,Q9CR41,Huntingtin-interacting protein K,121,Mus musculus (Mouse),0.62,2.0,0.558
1782,Q2PFU1,Huntingtin-interacting protein K,121,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),0.62,2.0,0.543
1791,P29128,E3 ubiquitin-protein ligase ICP0,676,Bovine herpesvirus 1.1 (strain Jura) (BoHV-1) (Infectious bovinrhinotracheitis virus),0.632,2.0,
1797,P08393,E3 ubiquitin-protein ligase ICP0,775,Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1),0.681,2.0,
1804,P08353,Neurovirulence factor ICP34.5,263,Human herpesvirus 1 (strain F) (HHV-1) (Human herpes simplex virus 1),0.646,2.0,
1811,P03170,ICP47 protein,88,Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1),0.636,2.0,
1827,P39935,Eukaryotic initiation factor 4F subunit p150,952,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.557,2.0,0.655
1833,Q10475,Eukaryotic translation initiation factor 4 gamma,1403,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),0.695,2.0,0.686
1851,O13024,Inner centromere protein A,873,Xenopus laevis (African clawed frog),0.561,2.0,0.834
1852,Q32N93,Inner centromere protein B,892,Xenopus laevis (African clawed frog),0.618,2.0,0.845
1853,Q9NQS7,Inner centromere protein,918,Homo sapiens (Human),0.505,2.0,0.855
1873,Q6NXS1,Protein phosphatase inhibitor 2 family member B,205,Homo sapiens (Human),0.58,2.0,0.932
1876,P41236,Protein phosphatase inhibitor 2,205,Homo sapiens (Human),0.58,2.0,0.946
1877,P50411,Protein phosphatase inhibitor 2,205,Rattus norvegicus (Rat),0.615,2.0,1.0
1889,Q5JU85,IQ motif and SEC7 domain-containing protein 2,1488,Homo sapiens (Human),0.538,2.0,0.722
1890,Q5DU25,IQ motif and SEC7 domain-containing protein 2,1478,Mus musculus (Mouse),0.513,2.0,0.726
1910,Q96ST2,Protein IWS1 homolog,819,Homo sapiens (Human),0.675,2.0,0.803
1936,Q5NCY0,Lysine-specific demethylase 6B,1641,Mus musculus (Mouse),0.578,2.0,0.633
1937,O15054,Lysine-specific demethylase 6B,1643,Homo sapiens (Human),0.575,2.0,0.645
1943,Q9Y2Y9,Krueppel-like factor 13,288,Homo sapiens (Human),0.594,2.0,0.747
1944,Q9JJZ6,Krueppel-like factor 13,289,Mus musculus (Mouse),0.592,2.0,0.74
1950,Q9UMN6,Histone-lysine N-methyltransferase 2B,2715,Homo sapiens (Human),0.526,2.0,
1952,O14686,Histone-lysine N-methyltransferase 2D,5537,Homo sapiens (Human),0.577,2.0,
1954,P09346,Knob-associated histidine-rich protein,634,Plasmodium falciparum (isolate FCR-3 / Gambia),0.591,2.0,0.97
1955,P06719,Knob-associated histidine-rich protein,657,Plasmodium falciparum (isolate NF7 / Ghana),0.621,2.0,0.983
1975,Q09260,Protein lag-3,490,Caenorhabditis elegans,0.547,2.0,0.804
1979,Q92615,La-related protein 4B,738,Homo sapiens (Human),0.518,2.0,0.782
1997,Q13094,Lymphocyte cytosolic protein 2,533,Homo sapiens (Human),0.638,2.0,0.63
1998,Q60787,Lymphocyte cytosolic protein 2,533,Mus musculus (Mouse),0.615,2.0,0.647
2004,P13934,Late embryogenesis abundant protein 76,280,Brassica napus (Rape),0.636,2.0,0.818
2018,P0C6L6,Large delta antigen,214,Hepatitis delta virus genotype I (isolate Italian) (HDV),0.682,2.0,
2027,Q9UHB6,LIM domain and actin-binding protein 1,759,Homo sapiens (Human),0.534,2.0,0.92
2028,Q9ERG0,LIM domain and actin-binding protein 1,753,Mus musculus (Mouse),0.571,2.0,0.912
2037,P29536,Leiomodin-1,600,Homo sapiens (Human),0.618,2.0,0.717
2041,P03230,Latent membrane protein 1,386,Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4),0.5,2.0,
2042,P29362,Latent membrane protein 1,404,Epstein-Barr virus (strain Cao) (HHV-4) (Human herpesvirus 4),0.522,2.0,
2043,P13198,Latent membrane protein 1,386,Epstein-Barr virus (strain Raji) (HHV-4) (Human herpesvirus 4),0.5,2.0,
2068,A7A239,60S ribosomal subunit assembly/export protein LOC1,204,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),0.52,2.0,0.637
2069,P43586,60S ribosomal subunit assembly/export protein LOC1,204,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.52,2.0,0.716
2080,Q32MZ4,Leucine-rich repeat flightless-interacting protein 1,808,Homo sapiens (Human),0.566,2.0,0.833
2084,P40070,U6 snRNA-associated Sm-like protein LSm4,187,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.508,2.0,0.567
2110,Q92585,Mastermind-like protein 1,1016,Homo sapiens (Human),0.575,2.0,0.942
2111,Q6T264,Mastermind-like protein 1,1020,Mus musculus (Mouse),0.52,2.0,0.954
2113,P46821,Microtubule-associated protein 1B,2468,Homo sapiens (Human),0.656,2.0,0.752
2114,P15205,Microtubule-associated protein 1B,2461,Rattus norvegicus (Rat),0.642,2.0,0.75
2115,P14873,Microtubule-associated protein 1B,2464,Mus musculus (Mouse),0.607,2.0,0.75
2140,Q7Z434,Mitochondrial antiviral-signaling protein,540,Homo sapiens (Human),0.606,2.0,0.822
2145,P61245,Protein max,160,Felis catus (Cat) (Felis silvestris catus),0.613,2.0,0.55
2146,P52164,Protein max,160,Rattus norvegicus (Rat),0.6,2.0,0.55
2148,P61244,Protein max,160,Homo sapiens (Human),0.613,2.0,0.55
2149,P28574,Protein max,160,Mus musculus (Mouse),0.606,2.0,0.55
2155,P25188,Myelin basic protein,167,Cavia porcellus (Guinea pig),0.605,2.0,1.0
2156,P83487,Myelin basic protein,172,Equus caballus (Horse),0.541,2.0,1.0
2164,Q6VMQ6,Activating transcription factor 7-interacting protein 1,1270,Homo sapiens (Human),0.511,2.0,0.883
2177,Q14676,Mediator of DNA damage checkpoint protein 1,2089,Homo sapiens (Human),0.63,2.0,0.852
2178,Q5TM68,Mediator of DNA damage checkpoint protein 1,2173,Macaca mulatta (Rhesus macaque),0.667,2.0,0.847
2181,Q7YR40,Mediator of DNA damage checkpoint protein 1,2171,Pan troglodytes (Chimpanzee),0.678,2.0,0.856
2204,Q6INP8,Mediator of RNA polymerase II transcription subunit 1,1570,Xenopus laevis (African clawed frog),0.539,2.0,0.683
2205,A1L0Z0,Mediator of RNA polymerase II transcription subunit 1,1573,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),0.537,2.0,0.682
2216,Q91V27,Melanophilin,590,Mus musculus (Mouse),0.578,2.0,0.736
2249,Q8IY33,MICAL-like protein 2,904,Homo sapiens (Human),0.591,2.0,0.619
2254,Q96T58,Msx2-interacting protein,3664,Homo sapiens (Human),0.573,2.0,
2270,Q99583,Max-binding protein MNT,582,Homo sapiens (Human),0.534,2.0,0.857
2286,P53725,M-phase phosphoprotein 6 homolog,186,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),0.634,2.0,1.0
2295,P50498,Merozoite surface protein 2,272,Plasmodium falciparum (isolate 3D7),0.695,2.0,0.982
