filename,uniprot_id
AF-C7YRX0-F1-model_v6.pdb,C7YRX0
AF-A0A194WD11-F1-model_v6.pdb,A0A194WD11
AF-A0A1L7WL14-F1-model_v6.pdb,A0A1L7WL14
AF-A0A9P7Z0W3-F1-model_v6.pdb,A0A9P7Z0W3
AF-G2QAR6-F1-model_v6.pdb,G2QAR6
AF-A0AAD8V3V4-F1-model_v6.pdb,A0AAD8V3V4
AF-A0A8G1RJP3-F1-model_v6.pdb,A0A8G1RJP3
AF-A0A319C2M9-F1-model_v6.pdb,A0A319C2M9
AF-A0AA39WF64-F1-model_v6.pdb,A0AA39WF64
AF-A0A0D2AWN4-F1-model_v6.pdb,A0A0D2AWN4
AF-W6Z6I0-F1-model_v6.pdb,W6Z6I0
AF-A0A8H4D874-F1-model_v6.pdb,A0A8H4D874
AF-A0A8H4FMQ5-F1-model_v6.pdb,A0A8H4FMQ5
AF-A0A4Q4TZL5-F1-model_v6.pdb,A0A4Q4TZL5
AF-A0AAE0JLC1-F1-model_v6.pdb,A0AAE0JLC1
AF-A0A5Q4BZ43-F1-model_v6.pdb,A0A5Q4BZ43
AF-G0SDD0-F1-model_v6.pdb,G0SDD0
AF-A0A447BZQ2-F1-model_v6.pdb,A0A447BZQ2
AF-A0A9P5EPC8-F1-model_v6.pdb,A0A9P5EPC8
AF-A0A5N5MIE3-F1-model_v6.pdb,A0A5N5MIE3
AF-A0A5N5P0K1-F1-model_v6.pdb,A0A5N5P0K1
AF-A0A3D8S795-F1-model_v6.pdb,A0A3D8S795
AF-A0A135SJ75-F1-model_v6.pdb,A0A135SJ75
AF-A0A1J7JNS9-F1-model_v6.pdb,A0A1J7JNS9
AF-A0A517LK57-F1-model_v6.pdb,A0A517LK57
AF-A0A1Q8RQ86-F1-model_v6.pdb,A0A1Q8RQ86
AF-A0A4Q4TD52-F1-model_v6.pdb,A0A4Q4TD52
AF-A0A553IA54-F1-model_v6.pdb,A0A553IA54
AF-C5M5Q6-F1-model_v6.pdb,C5M5Q6
AF-A0A8H8C6J5-F1-model_v6.pdb,A0A8H8C6J5
AF-A0A218YU31-F1-model_v6.pdb,A0A218YU31
AF-A0A194V399-F1-model_v6.pdb,A0A194V399
AF-A0A317SV79-F1-model_v6.pdb,A0A317SV79
AF-G4UGS8-F1-model_v6.pdb,G4UGS8
AF-G4UYE0-F1-model_v6.pdb,G4UYE0
AF-A0A8H6NVV2-F1-model_v6.pdb,A0A8H6NVV2
AF-A0AAE0N7S4-F1-model_v6.pdb,A0AAE0N7S4
AF-A0A2T3B4M5-F1-model_v6.pdb,A0A2T3B4M5
AF-A0A135V2B4-F1-model_v6.pdb,A0A135V2B4
AF-A0A1L9WGR9-F1-model_v6.pdb,A0A1L9WGR9
AF-A0A9W4RVN7-F1-model_v6.pdb,A0A9W4RVN7
AF-A0AA40DDW0-F1-model_v6.pdb,A0AA40DDW0
AF-H0GPM3-F1-model_v6.pdb,H0GPM3
AF-A0A9Q0ASP2-F1-model_v6.pdb,A0A9Q0ASP2
AF-A0A151GTL1-F1-model_v6.pdb,A0A151GTL1
AF-A0A9P9MWY7-F1-model_v6.pdb,A0A9P9MWY7
AF-H0GJ66-F1-model_v6.pdb,H0GJ66
AF-A0A370TTS7-F1-model_v6.pdb,A0A370TTS7
AF-A0A0U5FZC7-F1-model_v6.pdb,A0A0U5FZC7
AF-A0A1E1JRI3-F1-model_v6.pdb,A0A1E1JRI3
AF-A0A6A5UM70-F1-model_v6.pdb,A0A6A5UM70
AF-A0A135UI16-F1-model_v6.pdb,A0A135UI16
AF-A0A2V5HE43-F1-model_v6.pdb,A0A2V5HE43
AF-A0A9P4HSS2-F1-model_v6.pdb,A0A9P4HSS2
AF-A0A512UAD6-F1-model_v6.pdb,A0A512UAD6
AF-A0A010SL39-F1-model_v6.pdb,A0A010SL39
AF-A0A8H3WR19-F1-model_v6.pdb,A0A8H3WR19
AF-A0A4Z1NUJ6-F1-model_v6.pdb,A0A4Z1NUJ6
AF-A0A166XMG4-F1-model_v6.pdb,A0A166XMG4
AF-A0A507B2F2-F1-model_v6.pdb,A0A507B2F2
AF-A0A484G7R8-F1-model_v6.pdb,A0A484G7R8
AF-A0AAD9A527-F1-model_v6.pdb,A0AAD9A527
AF-A0A9W8ZJW3-F1-model_v6.pdb,A0A9W8ZJW3
AF-A0AAD9XYD6-F1-model_v6.pdb,A0AAD9XYD6
AF-A0A168JD36-F1-model_v6.pdb,A0A168JD36
AF-G2QX84-F1-model_v6.pdb,G2QX84
AF-A0AAE0X5Y6-F1-model_v6.pdb,A0AAE0X5Y6
AF-A0A8H7W723-F1-model_v6.pdb,A0A8H7W723
AF-K2SDE1-F1-model_v6.pdb,K2SDE1
AF-A0A3D8QMW9-F1-model_v6.pdb,A0A3D8QMW9
AF-A0AAD5NDY6-F1-model_v6.pdb,A0AAD5NDY6
AF-A0A9P7RDT1-F1-model_v6.pdb,A0A9P7RDT1
AF-V5IPB8-F1-model_v6.pdb,V5IPB8
AF-V5ILR6-F1-model_v6.pdb,V5ILR6
AF-A0A6C1EAL8-F1-model_v6.pdb,A0A6C1EAL8
AF-A0AAE0HRH0-F1-model_v6.pdb,A0AAE0HRH0
AF-A0A2T7A0Y3-F1-model_v6.pdb,A0A2T7A0Y3
AF-Q5AVK2-F1-model_v6.pdb,Q5AVK2
AF-A0A3S4D4C6-F1-model_v6.pdb,A0A3S4D4C6
AF-A0A9P8UPC1-F1-model_v6.pdb,A0A9P8UPC1
AF-A0A9P8Y2R9-F1-model_v6.pdb,A0A9P8Y2R9
AF-A0A2H2ZLD5-F1-model_v6.pdb,A0A2H2ZLD5
AF-A0A2V5I405-F1-model_v6.pdb,A0A2V5I405
AF-A0A9W9KXL3-F1-model_v6.pdb,A0A9W9KXL3
AF-A0A8H5ZM27-F1-model_v6.pdb,A0A8H5ZM27
AF-A0A8H6FAE6-F1-model_v6.pdb,A0A8H6FAE6
AF-A0A6A5Q108-F1-model_v6.pdb,A0A6A5Q108
AF-A0A8H8UN52-F1-model_v6.pdb,A0A8H8UN52
AF-A0A8H4FAC0-F1-model_v6.pdb,A0A8H4FAC0
AF-A0A8H4BVN9-F1-model_v6.pdb,A0A8H4BVN9
AF-A0A6A5PV80-F1-model_v6.pdb,A0A6A5PV80
AF-A0A8H4BZC1-F1-model_v6.pdb,A0A8H4BZC1
AF-A0A6A5PZF0-F1-model_v6.pdb,A0A6A5PZF0
AF-A0A8H8ULX7-F1-model_v6.pdb,A0A8H8ULX7
AF-A0A8H4BYR0-F1-model_v6.pdb,A0A8H4BYR0
AF-A0A8H4BUR0-F1-model_v6.pdb,A0A8H4BUR0
AF-A0A6A5PUP1-F1-model_v6.pdb,A0A6A5PUP1
AF-A0A8H4BXI2-F1-model_v6.pdb,A0A8H4BXI2
AF-A0AA39V4C4-F1-model_v6.pdb,A0AA39V4C4
AF-A0A4Q4QLA9-F1-model_v6.pdb,A0A4Q4QLA9
AF-R0KMZ0-F1-model_v6.pdb,R0KMZ0
AF-A0AA40E914-F1-model_v6.pdb,A0AA40E914
AF-A0AA40APD9-F1-model_v6.pdb,A0AA40APD9
AF-A0AAE0N0X4-F1-model_v6.pdb,A0AAE0N0X4
AF-A0A2C5XRS4-F1-model_v6.pdb,A0A2C5XRS4
AF-A0A8S9CMM8-F1-model_v6.pdb,A0A8S9CMM8
AF-A0A2C5YI54-F1-model_v6.pdb,A0A2C5YI54
AF-A0A4R8PQI3-F1-model_v6.pdb,A0A4R8PQI3
AF-M2MCT2-F1-model_v6.pdb,M2MCT2
AF-A0A094BI56-F1-model_v6.pdb,A0A094BI56
AF-A0A1L9TFG0-F1-model_v6.pdb,A0A1L9TFG0
AF-A0A8H3VPQ4-F1-model_v6.pdb,A0A8H3VPQ4
AF-A0A8H3YX31-F1-model_v6.pdb,A0A8H3YX31
AF-A0AA38RQV9-F1-model_v6.pdb,A0AA38RQV9
AF-A0A8H3U2N3-F1-model_v6.pdb,A0A8H3U2N3
AF-A0A9P6IFB1-F1-model_v6.pdb,A0A9P6IFB1
AF-A0A8T9B5J0-F1-model_v6.pdb,A0A8T9B5J0
AF-A0A9P7YFU1-F1-model_v6.pdb,A0A9P7YFU1
AF-A0A8T8X133-F1-model_v6.pdb,A0A8T8X133
AF-A0A4V1XVP6-F1-model_v6.pdb,A0A4V1XVP6
AF-A0A194XDV4-F1-model_v6.pdb,A0A194XDV4
AF-A0A317AB18-F1-model_v6.pdb,A0A317AB18
AF-E3QBD4-F1-model_v6.pdb,E3QBD4
AF-A0A9W8Z3M4-F1-model_v6.pdb,A0A9W8Z3M4
AF-A0A2V1BL24-F1-model_v6.pdb,A0A2V1BL24
AF-A0A8H7AGK8-F1-model_v6.pdb,A0A8H7AGK8
AF-A0A1Y2DK58-F1-model_v6.pdb,A0A1Y2DK58
AF-A0A9W8W4U7-F1-model_v6.pdb,A0A9W8W4U7
AF-M2QUP9-F1-model_v6.pdb,M2QUP9
AF-A0A6A6A7R5-F1-model_v6.pdb,A0A6A6A7R5
AF-A0AA35JL82-F1-model_v6.pdb,A0AA35JL82
AF-Q8X0V5-F1-model_v6.pdb,Q8X0V5
AF-A0A6A6UD15-F1-model_v6.pdb,A0A6A6UD15
AF-A0A1L9PRS1-F1-model_v6.pdb,A0A1L9PRS1
AF-A0A8J2I940-F1-model_v6.pdb,A0A8J2I940
AF-A0A7H8QSB3-F1-model_v6.pdb,A0A7H8QSB3
AF-A0A9P9TC38-F1-model_v6.pdb,A0A9P9TC38
AF-A0A9W5YKF3-F1-model_v6.pdb,A0A9W5YKF3
AF-A0A8S9BRV0-F1-model_v6.pdb,A0A8S9BRV0
AF-A0A179I2R7-F1-model_v6.pdb,A0A179I2R7
AF-D5GB11-F1-model_v6.pdb,D5GB11
AF-A0A4R8RQG7-F1-model_v6.pdb,A0A4R8RQG7
AF-A0A4Q4SD67-F1-model_v6.pdb,A0A4Q4SD67
AF-A0A4Q4P6N0-F1-model_v6.pdb,A0A4Q4P6N0
AF-A0A366S7X0-F1-model_v6.pdb,A0A366S7X0
AF-A0A4Q4MD92-F1-model_v6.pdb,A0A4Q4MD92
AF-A0A8S8ZXJ1-F1-model_v6.pdb,A0A8S8ZXJ1
AF-A0A4Q4WN70-F1-model_v6.pdb,A0A4Q4WN70
AF-A0A9W9C8L9-F1-model_v6.pdb,A0A9W9C8L9
AF-A0A9P9X6X8-F1-model_v6.pdb,A0A9P9X6X8
AF-A0A420YPC1-F1-model_v6.pdb,A0A420YPC1
AF-A0A8H6JR48-F1-model_v6.pdb,A0A8H6JR48
AF-A0A1E1LY27-F1-model_v6.pdb,A0A1E1LY27
AF-A0A1S8BJY7-F1-model_v6.pdb,A0A1S8BJY7
AF-A0AA39XSI4-F1-model_v6.pdb,A0AA39XSI4
AF-L2FW65-F1-model_v6.pdb,L2FW65
AF-A0A7J6IGW7-F1-model_v6.pdb,A0A7J6IGW7
AF-W6XK83-F1-model_v6.pdb,W6XK83
AF-A0A161W554-F1-model_v6.pdb,A0A161W554
AF-I2JX88-F1-model_v6.pdb,I2JX88
AF-A0AAD5RI83-F1-model_v6.pdb,A0AAD5RI83
AF-A0A1B2JET9-F1-model_v6.pdb,A0A1B2JET9
AF-A0A8H6JLG3-F1-model_v6.pdb,A0A8H6JLG3
AF-A0A3M7ML50-F1-model_v6.pdb,A0A3M7ML50
AF-A0AAD9LT20-F1-model_v6.pdb,A0AAD9LT20
AF-A0A8H4N3D9-F1-model_v6.pdb,A0A8H4N3D9
AF-A0A163DRW8-F1-model_v6.pdb,A0A163DRW8
AF-A0A9Q8SY64-F1-model_v6.pdb,A0A9Q8SY64
AF-A0A4U6XHH6-F1-model_v6.pdb,A0A4U6XHH6
AF-A0A1E1KTL9-F1-model_v6.pdb,A0A1E1KTL9
AF-A0A9W8TPN2-F1-model_v6.pdb,A0A9W8TPN2
AF-A0A9Q8QL55-F1-model_v6.pdb,A0A9Q8QL55
AF-A0AA40K4H2-F1-model_v6.pdb,A0AA40K4H2
AF-A0A0L8R9X8-F1-model_v6.pdb,A0A0L8R9X8
AF-A0A0L8RAD9-F1-model_v6.pdb,A0A0L8RAD9
AF-A0A0L8RJ80-F1-model_v6.pdb,A0A0L8RJ80
AF-A0A0L8RA84-F1-model_v6.pdb,A0A0L8RA84
AF-A0A0L8RK07-F1-model_v6.pdb,A0A0L8RK07
AF-A0A0L8RHC8-F1-model_v6.pdb,A0A0L8RHC8
AF-A0A0L8RFU9-F1-model_v6.pdb,A0A0L8RFU9
AF-A0A0L8RJQ4-F1-model_v6.pdb,A0A0L8RJQ4
AF-A0A0L8RLL7-F1-model_v6.pdb,A0A0L8RLL7
AF-A0A0L8R9R7-F1-model_v6.pdb,A0A0L8R9R7
AF-A0A0L8RNB4-F1-model_v6.pdb,A0A0L8RNB4
AF-A0A9P9U7Z0-F1-model_v6.pdb,A0A9P9U7Z0
AF-A0A439D846-F1-model_v6.pdb,A0A439D846
AF-A0A8K0LQF3-F1-model_v6.pdb,A0A8K0LQF3
AF-A0A177CQ35-F1-model_v6.pdb,A0A177CQ35
AF-A0A0C3HBQ8-F1-model_v6.pdb,A0A0C3HBQ8
AF-A0A2P5IBX4-F1-model_v6.pdb,A0A2P5IBX4
AF-A0A9Q9DTM7-F1-model_v6.pdb,A0A9Q9DTM7
AF-A0A395SIK4-F1-model_v6.pdb,A0A395SIK4
AF-A0A8H6L272-F1-model_v6.pdb,A0A8H6L272
AF-A0A1G4KQC0-F1-model_v6.pdb,A0A1G4KQC0
AF-A0A1Y2M574-F1-model_v6.pdb,A0A1Y2M574
AF-A0AA38W0Y9-F1-model_v6.pdb,A0AA38W0Y9
AF-A0A0L0NC01-F1-model_v6.pdb,A0A0L0NC01
AF-A0AAD4NUL9-F1-model_v6.pdb,A0AAD4NUL9
AF-A0A6A6IM61-F1-model_v6.pdb,A0A6A6IM61
AF-A0A423XBV5-F1-model_v6.pdb,A0A423XBV5
AF-A0A1B7Y734-F1-model_v6.pdb,A0A1B7Y734
AF-A0A7R7XYK3-F1-model_v6.pdb,A0A7R7XYK3
AF-M2URN8-F1-model_v6.pdb,M2URN8
AF-A0A0U1LRJ5-F1-model_v6.pdb,A0A0U1LRJ5
AF-A0AAE0MEP1-F1-model_v6.pdb,A0AAE0MEP1
AF-A0A093ZR39-F1-model_v6.pdb,A0A093ZR39
AF-A0AAE0UGL7-F1-model_v6.pdb,A0AAE0UGL7
AF-F8MDL0-F1-model_v6.pdb,F8MDL0
AF-A0A7C8IP81-F1-model_v6.pdb,A0A7C8IP81
AF-A0A367L3Z1-F1-model_v6.pdb,A0A367L3Z1
AF-A0A4R8TVK2-F1-model_v6.pdb,A0A4R8TVK2
AF-A0AAD8XJQ7-F1-model_v6.pdb,A0AAD8XJQ7
AF-A0A1E5REN2-F1-model_v6.pdb,A0A1E5REN2
AF-A0A9W8QK11-F1-model_v6.pdb,A0A9W8QK11
AF-C4R5A8-F1-model_v6.pdb,C4R5A8
AF-A0A292Q2P3-F1-model_v6.pdb,A0A292Q2P3
AF-A0A2A9P9D6-F1-model_v6.pdb,A0A2A9P9D6
AF-A0A179G9Y2-F1-model_v6.pdb,A0A179G9Y2
AF-A0A9P3M820-F1-model_v6.pdb,A0A9P3M820
AF-A0A084FU23-F1-model_v6.pdb,A0A084FU23
AF-A0A179GXM4-F1-model_v6.pdb,A0A179GXM4
AF-A0A423W0A8-F1-model_v6.pdb,A0A423W0A8
AF-A0A1V1SWT4-F1-model_v6.pdb,A0A1V1SWT4
AF-W3X8Z0-F1-model_v6.pdb,W3X8Z0
AF-A0AAD9SUD0-F1-model_v6.pdb,A0AAD9SUD0
AF-A0A165HIY0-F1-model_v6.pdb,A0A165HIY0
AF-A0AAE8MQ70-F1-model_v6.pdb,A0AAE8MQ70
AF-A0A9P4WEH9-F1-model_v6.pdb,A0A9P4WEH9
AF-A0A559MMV7-F1-model_v6.pdb,A0A559MMV7
AF-A0A1G4B2J9-F1-model_v6.pdb,A0A1G4B2J9
AF-A0A4Q4VXF2-F1-model_v6.pdb,A0A4Q4VXF2
AF-M0QY76-F1-model_v6.pdb,M0QY76
AF-A0A087X0K9-F1-model_v6.pdb,A0A087X0K9
AF-A0A224AV41-F1-model_v6.pdb,A0A224AV41
AF-D3DRA2-F1-model_v6.pdb,D3DRA2
AF-A2BDK6-F1-model_v6.pdb,A2BDK6
AF-A0A1U9XBC1-F1-model_v6.pdb,A0A1U9XBC1
AF-A0AAA9XYZ6-F1-model_v6.pdb,A0AAA9XYZ6
AF-B7Z3E7-F1-model_v6.pdb,B7Z3E7
AF-A0A1U9XBC2-F1-model_v6.pdb,A0A1U9XBC2
AF-A4D2N6-F1-model_v6.pdb,A4D2N6
AF-H0YAE8-F1-model_v6.pdb,H0YAE8
AF-A0A804HI55-F1-model_v6.pdb,A0A804HI55
AF-A0A1U9XBD4-F1-model_v6.pdb,A0A1U9XBD4
AF-Q4LE70-F1-model_v6.pdb,Q4LE70
AF-A0A1U9XBE0-F1-model_v6.pdb,A0A1U9XBE0
AF-A0A8I5KSG1-F1-model_v6.pdb,A0A8I5KSG1
AF-E9PDC2-F1-model_v6.pdb,E9PDC2
AF-A0A1U9XBE3-F1-model_v6.pdb,A0A1U9XBE3
AF-B9EK61-F1-model_v6.pdb,B9EK61
AF-A9CQZ8-F1-model_v6.pdb,A9CQZ8
AF-A0A6Q8PFR7-F1-model_v6.pdb,A0A6Q8PFR7
AF-A9UEZ6-F1-model_v6.pdb,A9UEZ6
AF-A0A1U9XBC0-F1-model_v6.pdb,A0A1U9XBC0
AF-A0A224ANK2-F1-model_v6.pdb,A0A224ANK2
AF-A8K5W5-F1-model_v6.pdb,A8K5W5
AF-A0A1B0GU24-F1-model_v6.pdb,A0A1B0GU24
AF-C9JE98-F1-model_v6.pdb,C9JE98
AF-H0Y488-F1-model_v6.pdb,H0Y488
AF-C9J0Q5-F1-model_v6.pdb,C9J0Q5
AF-A0A3B3IS53-F1-model_v6.pdb,A0A3B3IS53
AF-A0A1U9XBB2-F1-model_v6.pdb,A0A1U9XBB2
AF-A0A669KBI7-F1-model_v6.pdb,A0A669KBI7
AF-A0A1U9XBE1-F1-model_v6.pdb,A0A1U9XBE1
AF-B7ZME8-F1-model_v6.pdb,B7ZME8
AF-A0A384ME03-F1-model_v6.pdb,A0A384ME03
AF-Q1JQ81-F1-model_v6.pdb,Q1JQ81
AF-A0A1B0GTU5-F1-model_v6.pdb,A0A1B0GTU5
AF-A0A1U9XBD9-F1-model_v6.pdb,A0A1U9XBD9
AF-A0A0A0MRJ5-F1-model_v6.pdb,A0A0A0MRJ5
AF-B4DSK7-F1-model_v6.pdb,B4DSK7
AF-A6NNK5-F1-model_v6.pdb,A6NNK5
AF-A0A1U9XBC3-F1-model_v6.pdb,A0A1U9XBC3
AF-A0A804HHR9-F1-model_v6.pdb,A0A804HHR9
AF-A0A1U9XBF2-F1-model_v6.pdb,A0A1U9XBF2
AF-A0A3B3ITI3-F1-model_v6.pdb,A0A3B3ITI3
AF-G3V1L9-F1-model_v6.pdb,G3V1L9
AF-A0A9L9PY69-F1-model_v6.pdb,A0A9L9PY69
AF-A0A8I5KPK0-F1-model_v6.pdb,A0A8I5KPK0
AF-A0A0S2Q0B1-F1-model_v6.pdb,A0A0S2Q0B1
AF-A0A6I8W852-F1-model_v6.pdb,A0A6I8W852
AF-A0A6P4ISK1-F1-model_v6.pdb,A0A6P4ISK1
AF-A0A6P8KUI3-F1-model_v6.pdb,A0A6P8KUI3
AF-A0A6P4ET67-F1-model_v6.pdb,A0A6P4ET67
AF-A0A6P4DYA5-F1-model_v6.pdb,A0A6P4DYA5
AF-A0A0R1E7X7-F1-model_v6.pdb,A0A0R1E7X7
AF-A0A0R1E972-F1-model_v6.pdb,A0A0R1E972
AF-A0A0R1E3Y4-F1-model_v6.pdb,A0A0R1E3Y4
AF-A0A0R1E3A3-F1-model_v6.pdb,A0A0R1E3A3
AF-B4PRK8-F1-model_v6.pdb,B4PRK8
AF-A0A084VSI3-F1-model_v6.pdb,A0A084VSI3
AF-A0A6I8TV42-F1-model_v6.pdb,A0A6I8TV42
AF-E1JIM0-F1-model_v6.pdb,E1JIM0
AF-B3M374-F1-model_v6.pdb,B3M374
AF-Q9VI63-F1-model_v6.pdb,Q9VI63
AF-A4V2Z1-F1-model_v6.pdb,A4V2Z1
AF-A0A2P4V4N9-F1-model_v6.pdb,A0A2P4V4N9
AF-A0A6P8XIR9-F1-model_v6.pdb,A0A6P8XIR9
AF-A0A6P8Z8C2-F1-model_v6.pdb,A0A6P8Z8C2
AF-A0A9P0F1E6-F1-model_v6.pdb,A0A9P0F1E6
AF-A0AAD7YV13-F1-model_v6.pdb,A0AAD7YV13
AF-A0A0M3QYJ3-F1-model_v6.pdb,A0A0M3QYJ3
AF-A0A0R1E3R5-F1-model_v6.pdb,A0A0R1E3R5
AF-B6UVQ6-F1-model_v6.pdb,B6UVQ6
AF-A0A0B4KGR7-F1-model_v6.pdb,A0A0B4KGR7
AF-A0A0B4K6Q6-F1-model_v6.pdb,A0A0B4K6Q6
AF-B5RJH7-F1-model_v6.pdb,B5RJH7
AF-A0A0B4K630-F1-model_v6.pdb,A0A0B4K630
AF-A1Z9S6-F1-model_v6.pdb,A1Z9S6
AF-Q0KI68-F1-model_v6.pdb,Q0KI68
AF-A0A0B4K690-F1-model_v6.pdb,A0A0B4K690
AF-A0A0B4K663-F1-model_v6.pdb,A0A0B4K663
AF-A0A3B0JJP2-F1-model_v6.pdb,A0A3B0JJP2
AF-A0A3B0JL05-F1-model_v6.pdb,A0A3B0JL05
AF-A0A5E4NED8-F1-model_v6.pdb,A0A5E4NED8
AF-A0A5E4NFX2-F1-model_v6.pdb,A0A5E4NFX2
AF-A0A5E4NB62-F1-model_v6.pdb,A0A5E4NB62
AF-A0A8S9WVI0-F1-model_v6.pdb,A0A8S9WVI0
AF-A0A4Y2M0V6-F1-model_v6.pdb,A0A4Y2M0V6
AF-A0A9C6X5C5-F1-model_v6.pdb,A0A9C6X5C5
AF-B6UVR1-F1-model_v6.pdb,B6UVR1
AF-B6UVR2-F1-model_v6.pdb,B6UVR2
AF-A0A0J9U220-F1-model_v6.pdb,A0A0J9U220
AF-A0A0J9RDZ0-F1-model_v6.pdb,A0A0J9RDZ0
AF-B4QXU9-F1-model_v6.pdb,B4QXU9
AF-B4QFW3-F1-model_v6.pdb,B4QFW3
AF-A0AAA9ZSU4-F1-model_v6.pdb,A0AAA9ZSU4
AF-B4LY91-F1-model_v6.pdb,B4LY91
AF-A0A6I8TV96-F1-model_v6.pdb,A0A6I8TV96
AF-A0A7R8VNK6-F1-model_v6.pdb,A0A7R8VNK6
AF-A0A1A9W710-F1-model_v6.pdb,A0A1A9W710
AF-A0A6P4HXI9-F1-model_v6.pdb,A0A6P4HXI9
AF-A0A6P4IRC2-F1-model_v6.pdb,A0A6P4IRC2
AF-A0A6P4J8W7-F1-model_v6.pdb,A0A6P4J8W7
AF-A0A6P4HMD8-F1-model_v6.pdb,A0A6P4HMD8
AF-A0A6P4HM13-F1-model_v6.pdb,A0A6P4HM13
AF-A0A6P4JA76-F1-model_v6.pdb,A0A6P4JA76
AF-A0A6P4HQ86-F1-model_v6.pdb,A0A6P4HQ86
AF-B3NZF8-F1-model_v6.pdb,B3NZF8
AF-B3P3V3-F1-model_v6.pdb,B3P3V3
AF-B4HIA2-F1-model_v6.pdb,B4HIA2
AF-B4HLW6-F1-model_v6.pdb,B4HLW6
AF-A0A0L0CPS0-F1-model_v6.pdb,A0A0L0CPS0
AF-A0A6P8KFF0-F1-model_v6.pdb,A0A6P8KFF0
AF-A0A6P8KWL5-F1-model_v6.pdb,A0A6P8KWL5
AF-A0A6P8JQU2-F1-model_v6.pdb,A0A6P8JQU2
AF-A0A6P8KK79-F1-model_v6.pdb,A0A6P8KK79
AF-A0A6P8KWX9-F1-model_v6.pdb,A0A6P8KWX9
AF-A0A6P8JH59-F1-model_v6.pdb,A0A6P8JH59
AF-A0A6P8KUI7-F1-model_v6.pdb,A0A6P8KUI7
AF-A0A6P8KEC9-F1-model_v6.pdb,A0A6P8KEC9
